78;72;181
101;92;199
129;118;221
165;151;247
207;190;277
254;234;311
307;282;348
365;335;387
427;392;427
490;451;469
556;511;511
622;572;553
686;631;593
749;689;632
808;743;669
861;792;702
909;836;732
950;874;757
983;904;778
1008;927;795
1023;941;806
1029;947;812
1027;944;813
1015;934;809
995;915;800
967;890;786
933;858;767
893;822;745
848;780;720
799;735;691
748;688;660
695;639;628
642;590;594
590;542;559
539;495;525
490;451;492
445;409;459
403;370;429
365;335;400
331;304;374
303;278;351
278;256;331
259;238;314
244;224;301
234;215;291
229;211;285
230;211;282
234;215;283
242;223;286
255;234;292
271;249;301
291;268;312
314;289;325
340;312;339
367;337;355
396;364;371
424;390;387
453;417;403
482;443;418
508;467;433
532;489;446
554;510;459
571;525;469
585;538;478
594;546;485
599;551;490
599;551;493
595;547;494
588;540;495
576;530;493
562;517;491
546;502;488
530;487;485
512;471;482
496;456;478
482;443;476
470;432;474
461;424;474
456;419;475
455;418;478
458;421;482
466;428;489
478;440;497
494;454;507
514;473;518
538;494;531
563;518;546
592;544;561
620;570;577
649;597;593
678;624;609
706;649;625
732;673;639
756;695;653
777;714;664
794;730;674
808;743;681
818;752;685
824;758;687
825;759;685
822;756;680
814;748;671
800;736;659
783;720;643
760;699;624
733;674;602
700;644;577
664;610;549
623;573;519
578;532;487
531;488;454
480;442;420
429;394;386
376;345;352
323;297;319
271;249;287
222;204;258
175;161;231
133;122;208
97;89;188
67;62;173
44;40;162
30;28;157
24;22;156
28;25;160
41;37;170
62;57;185
93;85;204
131;120;229
177;162;257
229;210;289
286;263;325
347;319;363
412;379;403
477;439;444
543;499;486
607;558;528
670;616;569
729;670;609
783;720;646
833;766;681
877;806;712
914;841;740
945;869;763
969;891;782
986;907;796
996;916;806
999;919;810
996;916;809
985;906;804
968;890;794
945;869;779
916;843;760
883;812;737
844;776;712
801;737;683
755;695;652
706;649;619
654;602;585
602;553;551
549;505;517
497;457;483
446;410;450
399;367;420
354;326;391
314;288;365
278;256;343
250;230;323
227;208;307
211;194;295
202;185;286
200;184;281
205;188;280
216;198;282
232;213;287
254;234;295
280;257;305
309;284;317
340;312;332
372;342;347
404;372;363
435;400;379
465;427;395
491;452;411
515;474;426
535;492;440
551;507;452
563;517;463
571;525;472
575;529;479
577;530;485
575;529;489
570;524;491
563;517;492
554;510;491
545;501;490
536;493;488
525;483;486
516;475;483
508;467;480
499;459;478
493;454;477
488;449;476
486;447;477
484;445;479
485;446;482
489;449;487
494;454;494
503;462;502
513;472;512
527;484;523
543;499;536
562;517;549
583;536;564
606;557;580
631;580;595
657;604;611
685;630;627
713;655;641
740;680;654
766;704;666
789;726;675
810;745;682
827;760;687
838;771;688
845;777;685
845;777;680
839;771;670
826;759;657
805;740;640
778;715;620
744;684;596
703;647;569
657;604;540
608;559;509
554;510;475
498;458;441
441;405;406
384;353;372
328;302;338
275;253;305
226;207;274
181;166;246
141;130;221
108;99;200
82;75;182
62;57;169
50;46;161
46;42;158
49;45;159
59;54;166
77;70;177
101;93;194
132;121;214
168;155;240
210;193;269
257;236;302
308;283;337
362;333;375
419;385;415
478;440;456
538;495;498
599;551;539
659;606;580
719;661;619
774;712;655
827;760;690
876;805;720
919;845;747
956;879;770
985;906;788
1007;926;802
1021;939;810
1026;944;813
1023;941;811
1010;929;804
989;910;792
960;883;775
925;851;755
882;811;730
834;767;702
781;718;672
726;668;640
670;616;606
612;563;571
555;511;536
502;461;502
450;414;469
403;370;437
360;331;408
324;298;381
292;269;356
268;246;336
248;228;318
236;217;304
229;210;293
227;208;286
